altitude,angular_velocity.x,angular_velocity.y,angular_velocity.z,current,latitude,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,longitude,sequence,timestamp,topic,twist.linear.x,twist.linear.y,twist.linear.z,voltage
,,,,,,,,,,0,2025-06-25T01:38:22.466Z,/ap/twist/filtered,0.0,0.0,0.0,
,1.4545455087500159e-05,-4.483618340600515e-06,3.7536312902375357e-06,,,-0.0008898017113097012,-0.001341027207672596,-9.816421508789062,,0,2025-06-25T01:38:22.467Z,/ap/imu/experimental/data,,,,
,3.151160854031332e-05,2.8544365704874508e-05,1.2227835213707294e-05,,,-0.0014627684140577912,-0.000930811045691371,-9.816798210144043,,0,2025-06-25T01:38:22.473Z,/ap/imu/experimental/data,,,,
,1.7047143046511337e-05,6.540633330587298e-05,4.660434206016362e-05,,,-0.0012984988279640675,-0.0004199827089905739,-9.817341804504395,,0,2025-06-25T01:38:22.474Z,/ap/imu/experimental/data,,,,
,1.547399915580172e-05,8.182058809325099e-05,6.078027217881754e-05,,,-0.0011598686687648296,-0.000581928703468293,-9.817367553710938,,0,2025-06-25T01:38:22.479Z,/ap/imu/experimental/data,,,,
,-1.2217826224514283e-05,7.42835400160402e-05,7.103841926436871e-05,,,-0.0012385162990540266,-0.0004069661081302911,-9.817678451538086,,0,2025-06-25T01:38:22.484Z,/ap/imu/experimental/data,,,,
,5.6395706451439764e-06,-3.7965546653140336e-06,4.624602661351673e-05,,,-0.0013442204799503088,0.0006944944034330547,-9.817922592163086,,0,2025-06-25T01:38:22.492Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:22.500Z,/ap/twist/filtered,0.0,0.0,0.0,
,2.677558086361387e-06,-4.991620880900882e-05,3.044062395929359e-05,,,-0.001334759290330112,0.0009027061169035733,-9.817849159240723,,0,2025-06-25T01:38:22.500Z,/ap/imu/experimental/data,,,,
,-2.275243605254218e-05,-5.494963261298835e-05,-1.2133805284975097e-05,,,-0.001347296521998942,0.00015651161083951592,-9.817765235900879,,0,2025-06-25T01:38:22.504Z,/ap/imu/experimental/data,,,,
,-3.356238448759541e-05,-4.5023392885923386e-05,-3.0723484087502584e-05,,,-0.0014709657989442348,-0.0006511572864837945,-9.817747116088867,,0,2025-06-25T01:38:22.509Z,/ap/imu/experimental/data,,,,
,-9.787418093765154e-05,-4.3281514081172645e-05,-5.67276811125339e-06,,,-0.0008983322768472135,-0.001203036867082119,-9.817178726196289,,0,2025-06-25T01:38:22.522Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:22.535Z,/ap/twist/filtered,0.0,0.0,0.0,
,-6.111486436566338e-05,5.001114550395869e-05,1.2666150723816827e-05,,,-0.0014132462674751878,-0.0014514706563204527,-9.816543579101562,,0,2025-06-25T01:38:22.535Z,/ap/imu/experimental/data,,,,
,-4.520616857917048e-05,7.417067536152899e-05,-2.332541589566972e-05,,,-0.0014779693447053432,-0.0017661451129242778,-9.816105842590332,,0,2025-06-25T01:38:22.539Z,/ap/imu/experimental/data,,,,
,2.57216852332931e-05,4.8430309107061476e-05,-2.0730070900754072e-05,,,-0.0010266239987686276,-0.0013161587994545698,-9.817550659179688,,0,2025-06-25T01:38:22.551Z,/ap/imu/experimental/data,,,,
,5.832631723023951e-05,2.9753604394500144e-05,-7.859944162191823e-06,,,-0.0010643571149557829,-0.0002448924060445279,-9.817573547363281,,0,2025-06-25T01:38:22.557Z,/ap/imu/experimental/data,,,,
,5.983081427984871e-05,2.848509575414937e-05,1.7068845181711367e-06,,,-0.0011349401902407408,-1.5598505342495628e-05,-9.817619323730469,,0,2025-06-25T01:38:22.562Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:22.571Z,/ap/twist/filtered,0.0,0.0,0.0,
,3.150504926452413e-05,3.289440428488888e-05,-1.531257657916285e-05,,,-0.0012872201623395085,0.000307382142636925,-9.817604064941406,,0,2025-06-25T01:38:22.571Z,/ap/imu/experimental/data,,,,
,1.2954400517628528e-05,6.227687845239416e-05,7.542193543486064e-06,,,-0.001218711957335472,0.0001412602432537824,-9.817667007446289,,0,2025-06-25T01:38:22.574Z,/ap/imu/experimental/data,,,,
,3.2928403470577905e-06,7.485176320187747e-05,1.3651980225404259e-05,,,-0.001032993895933032,-0.00042330194264650345,-9.81762981414795,,0,2025-06-25T01:38:22.580Z,/ap/imu/experimental/data,,,,
,2.4457714971504174e-05,1.8552369510871358e-05,1.7710735846776515e-05,,,-0.000811152218375355,-0.0018508797511458397,-9.817407608032227,,0,2025-06-25T01:38:22.595Z,/ap/imu/experimental/data,,,,
,2.578356179583352e-05,1.5389681720989756e-05,2.2335432731779292e-05,,,-0.00141887494828552,-0.001771049457602203,-9.817734718322754,,0,2025-06-25T01:38:22.598Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:22.604Z,/ap/twist/filtered,0.0,0.0,0.0,
,4.1255843825638294e-05,6.555019353982061e-06,3.108905366389081e-05,,,-0.0015933606773614883,-0.0017815995961427689,-9.818113327026367,,0,2025-06-25T01:38:22.604Z,/ap/imu/experimental/data,,,,
,-4.879134849034017e-06,5.611115921055898e-05,3.8009944546502084e-05,,,-0.0019799498841166496,-0.0014568510232493281,-9.818216323852539,,0,2025-06-25T01:38:22.609Z,/ap/imu/experimental/data,,,,
,-2.5639310479164124e-05,6.548827514052391e-05,6.806210149079561e-05,,,-0.0018877764232456684,-0.0015750301536172628,-9.818138122558594,,0,2025-06-25T01:38:22.616Z,/ap/imu/experimental/data,,,,
,-2.7375839636079036e-05,6.038395076757297e-05,2.9560771508840844e-05,,,-0.0011384747922420502,-0.0005417042993940413,-9.817554473876953,,0,2025-06-25T01:38:22.627Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:22.639Z,/ap/twist/filtered,0.0,0.0,0.0,
,6.449061856983462e-06,2.860728454834316e-05,3.66991080227308e-05,,,-0.001470799557864666,-0.0007020875345915556,-9.817070960998535,,0,2025-06-25T01:38:22.639Z,/ap/imu/experimental/data,,,,
,1.2045682524330914e-05,-1.170850737253204e-05,3.3991913369391114e-05,,,-0.0014967763563618064,-0.0002890401519834995,-9.816875457763672,,0,2025-06-25T01:38:22.644Z,/ap/imu/experimental/data,,,,
,3.6071607610210776e-05,-3.373395884409547e-05,-2.762403710221406e-07,,,-0.001250607194378972,-0.00023303745547309518,-9.81652545928955,,0,2025-06-25T01:38:22.650Z,/ap/imu/experimental/data,,,,
,1.820410579966847e-05,4.0407096093986183e-05,-2.416175811958965e-05,,,-0.0007736346451565623,-0.001767456065863371,-9.817559242248535,,0,2025-06-25T01:38:22.662Z,/ap/imu/experimental/data,,,,
,3.156157390549197e-06,3.203385858796537e-05,-1.2362968845991418e-05,,,-0.0007456183666363358,-0.0021138200536370277,-9.818009376525879,,0,2025-06-25T01:38:22.668Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:22.673Z,/ap/twist/filtered,0.0,0.0,0.0,
,1.508441891928669e-05,4.5167085772845894e-05,-2.2680846086586826e-05,,,-0.0007797543657943606,-0.00198189914226532,-9.81782054901123,,0,2025-06-25T01:38:22.674Z,/ap/imu/experimental/data,,,,
,1.734952093102038e-05,4.3021991587011144e-05,-2.1509706130018458e-05,,,-0.0014701405307278037,-0.0012490751687437296,-9.817790985107422,,0,2025-06-25T01:38:22.680Z,/ap/imu/experimental/data,,,,
,-3.873077730531804e-06,6.228052370715886e-06,-2.032265911111608e-05,,,-0.0012243937235325575,-0.0007890099659562111,-9.818031311035156,,0,2025-06-25T01:38:22.685Z,/ap/imu/experimental/data,,,,
,-6.10626011621207e-05,-6.0309641412459314e-05,3.4617311030160636e-05,,,-0.0012366934679448605,-0.0011047840816900134,-9.818315505981445,,0,2025-06-25T01:38:22.697Z,/ap/imu/experimental/data,,,,
,-6.968592060729861e-05,-3.128762182313949e-05,2.5678662495920435e-05,,,-0.0010898360051214695,-0.0018529952503740788,-9.818225860595703,,0,2025-06-25T01:38:22.703Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:22.709Z,/ap/twist/filtered,0.0,0.0,0.0,
,-8.084905857685953e-05,-4.163513585808687e-05,4.7149660531431437e-05,,,-0.0010926967952400446,-0.0021123106125742197,-9.817952156066895,,0,2025-06-25T01:38:22.709Z,/ap/imu/experimental/data,,,,
,-7.332739187404513e-05,-8.471203727822285e-06,4.0237071516457945e-05,,,-0.0013341393787413836,-0.0015115150017663836,-9.817288398742676,,0,2025-06-25T01:38:22.715Z,/ap/imu/experimental/data,,,,
,-6.297135405475274e-05,2.2379823349183425e-05,2.186002893722616e-05,,,-0.001207265304401517,-0.0010465614032000303,-9.816933631896973,,0,2025-06-25T01:38:22.721Z,/ap/imu/experimental/data,,,,
,-7.323870522668585e-05,5.145415343577042e-05,2.463573036948219e-05,,,-0.0013123771641403437,-0.0007296809926629066,-9.816719055175781,,0,2025-06-25T01:38:22.728Z,/ap/imu/experimental/data,,,,
,-6.256784399738535e-05,7.10013773641549e-05,1.5864310626056977e-05,,,-0.001634686952456832,-0.0010597285581752658,-9.817325592041016,,0,2025-06-25T01:38:22.733Z,/ap/imu/experimental/data,,,,
,-5.5404794693458825e-05,8.079840335994959e-05,2.2809486836194992e-05,,,-0.0017452533356845379,-0.001495483797043562,-9.818050384521484,,0,2025-06-25T01:38:22.738Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:22.750Z,/ap/twist/filtered,0.0,0.0,0.0,
,2.5655474019004032e-05,9.614788723411039e-05,6.094116179156117e-05,,,-0.0017996712122112513,-0.0019124711398035288,-9.818949699401855,,0,2025-06-25T01:38:22.751Z,/ap/imu/experimental/data,,,,
,0.00010305215255357325,1.0760133591247723e-05,8.731549314688891e-05,,,-0.0012657351326197386,-0.0010045078815892339,-9.818751335144043,,0,2025-06-25T01:38:22.763Z,/ap/imu/experimental/data,,,,
